trace_id,event_name,start_time,start_weekday,end_time,duration,resource,adaptation_action
0,process start event,2022-08-01 09:00:00+00:00,0,2022-08-01 09:00:00+00:00,0.0,NA,insert
0,A,2022-08-01 09:00:00+00:00,0,2022-08-01 09:10:00+00:00,10.0,Default Resource-000001,insert
0,B,2022-08-01 09:10:00+00:00,0,2022-08-01 09:40:00+00:00,30.0,Default Resource-000003,insert
0,C,2022-08-01 09:40:00+00:00,0,2022-08-01 10:10:00+00:00,30.0,Default Resource-000006,insert
0,D,2022-08-01 10:10:00+00:00,0,2022-08-01 10:40:00+00:00,30.0,Default Resource-000010,insert
0,E,2022-08-01 10:40:00+00:00,0,2022-08-01 11:10:00+00:00,30.0,Default Resource-000005,insert
0,F,2022-08-01 11:10:00+00:00,0,2022-08-01 11:40:00+00:00,30.0,Default Resource-000001,insert
0,I,2022-08-01 11:40:00+00:00,0,2022-08-01 12:00:00+00:00,20.0,Inserted_Activity_resource,insert
0,process end event,2022-08-01 11:40:00+00:00,0,2022-08-01 11:40:00+00:00,0.0,NA,insert
1,process start event,2022-08-01 09:30:00+00:00,0,2022-08-01 09:30:00+00:00,0.0,NA,repeat
1,A,2022-08-01 09:30:00+00:00,0,2022-08-01 09:50:00+00:00,20.0,Default Resource-000002,repeat
1,A,2022-08-01 09:50:00+00:00,0,2022-08-01 10:10:00+00:00,20.0,Repeated_Activity_resource,repeat
1,B,2022-08-01 10:10:00+00:00,0,2022-08-01 10:50:00+00:00,40.0,Default Resource-000005,repeat
1,C,2022-08-01 10:50:00+00:00,0,2022-08-01 11:50:00+00:00,60.0,Default Resource-000009,repeat
1,D,2022-08-01 11:50:00+00:00,0,2022-08-01 12:20:00+00:00,30.0,Default Resource-000004,repeat
1,E,2022-08-01 12:20:00+00:00,0,2022-08-01 12:50:00+00:00,30.0,Default Resource-000010,repeat
1,F,2022-08-01 12:50:00+00:00,0,2022-08-01 13:20:00+00:00,30.0,Default Resource-000007,repeat
1,process end event,2022-08-01 13:20:00+00:00,0,2022-08-01 13:20:00+00:00,0.0,NA,repeat
2,process start event,2022-08-01 10:00:00+00:00,0,2022-08-01 10:00:00+00:00,0.0,NA,skip
2,A,2022-08-01 10:00:00+00:00,0,2022-08-01 10:30:00+00:00,30.0,Default Resource-000004,skip
