trace_id,event_name,start_time,start_weekday,end_time,duration,resource,adaptation_action
0,process start event,2022-08-01 09:00:00+00:00,0,2022-08-01 09:00:00+00:00,0.0,NA,insert
0,A,2022-08-01 09:00:00+00:00,0,2022-08-01 09:10:03.862675+00:00,10.064377916666666,Default Resource-000001,insert
0,B,2022-08-01 09:10:03.862675+00:00,0,2022-08-01 09:43:09.657160+00:00,33.09657475,Default Resource-000003,insert
0,C,2022-08-01 09:43:09.657160+00:00,0,2022-08-01 10:13:27.362562+00:00,30.295090033333334,Default Resource-000006,insert
0,D,2022-08-01 10:13:27.362562+00:00,0,2022-08-01 10:43:32.240457+00:00,30.08129825,Default Resource-000010,insert
0,E,2022-08-01 10:43:32.240457+00:00,0,2022-08-01 11:10:40.731133+00:00,27.141511266666665,Default Resource-000005,insert
0,F,2022-08-01 11:10:40.731133+00:00,0,2022-08-01 11:40:56.660977+00:00,30.2654974,Default Resource-000001,insert
0,I,2022-08-01 11:40:56.660977+00:00,0,2022-08-01 12:00:56.660977+00:00,20.0,Inserted_Activity_resource,insert
0,process end event,2022-08-01 11:40:56.660977+00:00,0,2022-08-01 11:40:56.660977+00:00,0.0,NA,insert
1,process start event,2022-08-01 09:30:00+00:00,0,2022-08-01 09:30:00+00:00,0.0,NA,shorten
1,A,2022-08-01 09:30:00+00:00,0,2022-08-01 09:50:38.366108+00:00,20.639435133333333,Default Resource-000002,shorten
1,B,2022-08-01 09:50:38.366108+00:00,0,2022-08-01 10:32:36.457379+00:00,41.96818785,Default Resource-000005,shorten
1,C,2022-08-01 10:32:36.457379+00:00,0,2022-08-01 11:02:36.457379+00:00,30.0,Default Resource-000009,shorten
1,D,2022-08-01 11:25:50.646286+00:00,0,2022-08-01 12:01:27.351184+00:00,35.6117483,Default Resource-000004,shorten
1,E,2022-08-01 12:01:27.351184+00:00,0,2022-08-01 12:31:30.962644+00:00,30.060191,Default Resource-000010,shorten
1,F,2022-08-01 12:31:30.962644+00:00,0,2022-08-01 13:00:43.123694+00:00,29.202684166666668,Default Resource-000007,shorten
1,process end event,2022-08-01 13:00:43.123694+00:00,0,2022-08-01 13:00:43.123694+00:00,0.0,NA,shorten
2,process start event,2022-08-01 10:00:00+00:00,0,2022-08-01 10:00:00+00:00,0.0,NA,skip
