trace_id,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@I,event:concept:name@process end event,event:concept:name@process start event,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@I,event:event_name@process end event,event:event_name@process start event,event:adaptation_action@insert,event:adaptation_action@no-action,event:adaptation_action@repeat,event:adaptation_action@shorten,event:adaptation_action@skip,event:resource,event:trace_id,event:@@case_index,event:@@index,event:start_weekday,event:duration,succession:concept:name@A#A,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@I#I,succession:concept:name@process end event#I,succession:concept:name@process start event#A,trace:cycle_time,adaptation_action
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,Inserted_Activity_resource,0,0,9,0,20.0,0,1,1,1,1,0,1,1,1,1,1,180.0,insert
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,1,1,17,0,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
2,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,10,2,24,0,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,100,3,32,1,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,101,4,40,1,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,102,5,50,1,0.0,1,1,1,1,1,0,1,1,0,0,1,210.0,repeat
6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,103,6,58,1,0.0,0,1,1,1,1,0,1,1,0,0,1,240.0,repeat
7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,104,7,66,1,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
8,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,105,8,74,1,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
9,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,106,9,81,1,0.0,0,1,1,1,0,1,0,1,0,0,1,250.0,shorten
10,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,107,10,88,2,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
11,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,108,11,95,2,0.0,0,1,1,1,0,1,0,1,0,0,1,1170.0,skip
12,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,109,12,102,2,0.0,0,1,1,1,0,1,0,1,0,0,1,1120.0,skip
13,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,11,13,109,1,0.0,0,1,1,1,0,1,0,1,0,0,1,1170.0,skip
14,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,,110,14,116,1,0.0,0,1,1,1,0,1,0,1,0,0,1,260.0,skip
15,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,111,15,124,1,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
16,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,112,16,132,1,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,113,17,140,2,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,114,18,150,2,0.0,1,1,1,1,1,0,1,1,0,0,1,240.0,repeat
19,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,,115,19,158,2,0.0,0,1,1,1,1,0,1,1,0,0,1,210.0,repeat
20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,,116,20,166,2,0.0,0,1,1,1,1,0,1,1,0,0,1,200.0,no-action
21,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,,117,21,174,2,0.0,0,1,1,1,1,0,1,1,0,0,1,250.0,shorten
