trace_id,event:concept:name@A,event:concept:name@B,event:concept:name@C,event:concept:name@D,event:concept:name@E,event:concept:name@F,event:concept:name@I,event:concept:name@process end event,event:concept:name@process start event,event:event_name@A,event:event_name@B,event:event_name@C,event:event_name@D,event:event_name@E,event:event_name@F,event:event_name@I,event:event_name@process end event,event:event_name@process start event,event:adaptation_action@extend,event:adaptation_action@insert,event:adaptation_action@no-action,event:adaptation_action@repeat,event:adaptation_action@shorten,event:adaptation_action@skip,event:resource,event:trace_id,event:@@case_index,event:@@index,event:start_weekday,event:duration,succession:concept:name@A#A,succession:concept:name@A#B,succession:concept:name@B#C,succession:concept:name@C#D,succession:concept:name@D#E,succession:concept:name@D#F,succession:concept:name@E#F,succession:concept:name@F#process end event,succession:concept:name@I#I,succession:concept:name@process end event#I,succession:concept:name@process start event#A,trace:cycle_time,adaptation_action
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,0,0,9,0,20.0,0,1,1,1,1,0,1,1,1,1,1,180.94434961666667,insert
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,1,1,17,0,0.0,0,1,1,1,1,0,1,1,0,0,1,210.71872823333334,repeat
2,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,10,2,24,0,0.0,0,1,1,1,0,1,0,1,0,0,1,260.2662503,skip
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,100,3,34,1,20.0,0,1,1,1,1,0,1,1,1,1,1,250.15747336666666,skip
4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,101,4,44,1,0.0,1,1,1,1,1,0,1,1,0,0,1,198.28049398333334,extend
5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,102,5,54,1,0.0,1,1,1,1,1,0,1,1,0,0,1,214.46090528333335,repeat
6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,103,6,62,1,0.0,0,1,1,1,1,0,1,1,0,0,1,249.48048501666668,repeat
7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,,104,7,70,1,0.0,0,1,1,1,1,0,1,1,0,0,1,217.23183356666667,repeat
8,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,105,8,77,1,0.0,0,1,1,1,0,1,0,1,0,0,1,203.25947431666665,extend
9,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,106,9,84,1,0.0,0,1,1,1,0,1,0,1,0,0,1,258.95251555,skip
10,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,107,10,91,2,0.0,0,1,1,1,0,1,0,1,0,0,1,267.15835143333334,skip
11,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,108,11,98,2,0.0,0,1,1,1,0,1,0,1,0,0,1,1219.4253997666667,skip
12,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,109,12,105,2,0.0,0,1,1,1,0,1,0,1,0,0,1,1174.0247226,skip
13,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,11,13,112,1,0.0,0,1,1,1,0,1,0,1,0,0,1,1335.22369875,skip
14,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,110,14,119,1,0.0,0,1,1,1,0,1,0,1,0,0,1,261.8464804,skip
15,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,,111,15,127,1,0.0,0,1,1,1,1,0,1,1,0,0,1,243.25923833333334,shorten
16,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,,112,16,135,1,0.0,0,1,1,1,1,0,1,1,0,0,1,211.57079493333333,insert
17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,113,17,145,2,0.0,1,1,1,1,1,0,1,1,0,0,1,243.61074113333333,repeat
18,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,114,18,157,2,0.0,1,1,1,1,1,0,1,1,0,0,1,252.2135799,repeat
19,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,115,19,167,2,0.0,1,1,1,1,1,0,1,1,0,0,1,246.03824546666667,repeat
20,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,,116,20,175,2,0.0,0,1,1,1,1,0,1,1,0,0,1,195.11773835,extend
21,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,117,21,182,2,0.0,0,1,1,1,0,1,0,1,0,0,1,246.46501246666668,shorten
22,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,118,22,189,2,0.0,0,1,1,1,0,1,0,1,0,0,1,261.77631756666665,skip
23,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,119,23,199,2,0.0,1,1,1,1,1,0,1,1,0,0,1,242.91876206666666,repeat
24,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,12,24,206,1,0.0,0,1,1,1,0,1,0,1,0,0,1,183.46729333333334,insert
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,120,25,216,2,20.0,0,1,1,1,1,0,1,1,1,1,1,239.1696154,repeat
26,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,121,26,226,2,0.0,1,1,1,1,1,0,1,1,0,0,1,262.5346277333333,skip
27,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,,122,27,234,2,0.0,0,1,1,1,1,0,1,1,0,0,1,1237.0175033666667,skip
28,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,123,28,241,3,0.0,0,1,1,1,0,1,0,1,0,0,1,1117.4235539833332,skip
29,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,124,29,248,3,0.0,0,1,1,1,0,1,0,1,0,0,1,1152.0458684333332,skip
30,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,125,30,255,3,0.0,0,1,1,1,0,1,0,1,0,0,1,258.3987367166667,repeat
31,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,126,31,265,2,0.0,1,1,1,1,1,0,1,1,0,0,1,244.76624185,repeat
32,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,127,32,275,2,0.0,1,1,1,1,1,0,1,1,0,0,1,195.97959483333332,repeat
33,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,,128,33,283,2,0.0,0,1,1,1,1,0,1,1,0,0,1,244.1142328,shorten
34,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,129,34,290,3,0.0,0,1,1,1,0,1,0,1,0,0,1,242.01719266666666,no-action
35,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,13,35,297,1,0.0,0,1,1,1,0,1,0,1,0,0,1,207.92340858333333,repeat
36,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,130,36,304,3,0.0,0,1,1,1,0,1,0,1,0,0,1,170.38523781666666,insert
37,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,131,37,314,3,0.0,1,1,1,1,1,0,1,1,0,0,1,219.91859575,repeat
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,132,38,324,3,20.0,0,1,1,1,1,0,1,1,1,1,1,263.73870795,skip
39,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,133,39,334,3,0.0,1,1,1,1,1,0,1,1,0,0,1,254.45747278333334,skip
40,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,134,40,341,3,0.0,0,1,1,1,0,1,0,1,0,0,1,201.70385265,extend
41,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,,135,41,349,3,0.0,0,1,1,1,1,0,1,1,0,0,1,223.4021968,repeat
42,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,,136,42,357,3,0.0,0,1,1,1,1,0,1,1,0,0,1,260.7982026,repeat
43,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,137,43,365,3,0.0,0,1,1,1,1,0,1,1,0,0,1,1140.0867547833334,skip
44,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,138,44,377,3,0.0,1,1,1,1,1,0,1,1,0,0,1,1193.1744407333333,skip
45,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,139,45,384,4,0.0,0,1,1,1,0,1,0,1,0,0,1,1328.52088995,skip
46,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,14,46,391,0,0.0,0,1,1,1,0,1,0,1,0,0,1,252.04327515,skip
47,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,140,47,398,4,0.0,0,1,1,1,0,1,0,1,0,0,1,216.56258255,repeat
48,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,141,48,405,4,0.0,0,1,1,1,0,1,0,1,0,0,1,183.41716385,insert
49,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,142,49,412,3,0.0,0,1,1,1,0,1,0,1,0,0,1,210.2564633,repeat
50,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,143,50,420,3,0.0,0,1,1,1,1,0,1,1,0,0,1,260.22106238333333,skip
51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,144,51,430,3,20.0,0,1,1,1,1,0,1,1,1,1,1,244.72167146666666,shorten
52,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,145,52,440,4,0.0,1,1,1,1,1,0,1,1,0,0,1,198.57318761666667,extend
53,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,146,53,447,4,0.0,0,1,1,1,0,1,0,1,0,0,1,247.3655387,repeat
54,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,147,54,454,4,0.0,0,1,1,1,0,1,0,1,0,0,1,264.1375790833333,repeat
55,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,,148,55,462,4,0.0,0,1,1,1,1,0,1,1,0,0,1,218.26894961666667,repeat
56,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,149,56,472,4,0.0,1,1,1,1,1,0,1,1,0,0,1,203.74278958333332,extend
57,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,,15,57,480,0,0.0,0,1,1,1,1,0,1,1,0,0,1,254.72270361666668,skip
58,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,150,58,492,4,0.0,1,1,1,1,1,0,1,1,0,0,1,271.2159945,skip
59,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,151,59,500,4,0.0,0,1,1,1,1,0,1,1,0,0,1,1115.1923858,skip
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,152,60,510,4,20.0,0,1,1,1,1,0,1,1,1,1,1,1159.5996674,skip
61,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,,153,61,518,4,0.0,0,1,1,1,1,0,1,1,0,0,1,1163.2605460833333,skip
62,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,154,62,525,4,0.0,0,1,1,1,0,1,0,1,0,0,1,265.74221996666665,skip
63,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,155,63,532,0,0.0,0,1,1,1,0,1,0,1,0,0,1,253.68578853333332,skip
64,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,156,64,539,0,0.0,0,1,1,1,0,1,0,1,0,0,1,199.22392883333333,extend
65,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,157,65,546,0,0.0,0,1,1,1,0,1,0,1,0,0,1,253.50351306666667,repeat
66,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,158,66,553,4,0.0,0,1,1,1,0,1,0,1,0,0,1,254.009161,repeat
67,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,159,67,560,4,0.0,0,1,1,1,0,1,0,1,0,0,1,213.80680555,repeat
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,Inserted_Activity_resource,16,68,570,0,20.0,0,1,1,1,1,0,1,1,1,1,1,203.16020428333334,no-action
69,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,,160,69,578,4,0.0,0,1,1,1,1,0,1,1,0,0,1,245.92992838333333,shorten
70,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,,161,70,586,0,0.0,0,1,1,1,1,0,1,1,0,0,1,238.54425621666667,no-action
